,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-KASYE BEVERS,0,1,0,0,0,0,4,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,0,0,2,1,3,0,0,0,0,0,0
TXST-ERIC REYES,1,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-AIDAN PARSI,2,1,0,0,0,1,1,0,0,0,0,0,0
TXST-TAYLOR AHOYT,1,0,0,0,0,1,1,0,0,0,0,0,0
TXST-AMBER BONHOMME,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-JUSTIN DUGIE,0,0,0,0,0,1,1,0,0,0,0,0,0
TXST-NICK ED,0,1,0,0,1,2,1,0,0,0,0,0,0
TEXAS-DAVIS ROE,3,3,0,0,1,2,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,2,0,0,0,0,0,0,1,0,0,0
TEXAS-UNK,0,1,0,0,0,0,0,0,0,1,0,0,0
TXST-BAILEE FIELDS,0,0,3,0,0,0,0,0,0,1,0,0,0
TXST-BRADLEY HIMES,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-CAMERON OGILVIE,0,0,2,0,0,0,0,0,0,0,0,0,0
TXST-MARKO SOLIS,0,0,0,0,0,0,0,0,0,0,1,0,1
TXST-UNK,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-AUDREY FRY,0,1,0,0,0,1,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-DANIEL LOPEZ-MARTINEZ,0,0,0,0,1,1,0,0,0,0,0,0,0
TXST-TIM NGUYEN,0,0,0,0,0,1,0,0,0,0,0,0,0
