,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TAMU-ADRIENNE DEMOSS,0,0,0,0,1,0,2,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,0,0,2,0,0,0,0,0,0
TAMU-MALIK DOUGLAS,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-RANDI DORAN,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,0,0,0,0,1,0,0,1,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,4,2,0,0,0,0,0,0,0,0,0,0,1
TAMU-LOUIS SANCHEZ,2,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,1,0,0,1,1,0,0,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-NATHAN LEWIS,1,1,0,0,1,1,0,0,0,0,0,0,0
TAMU-NATHON SANCHEZ,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-CARLY JORDAN,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,0,0,0,0,0,1,0,0,0
TAMU-HAYDAN ALTMAN,0,0,0,0,0,1,0,0,0,0,0,0,0
