,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-ERIN MCBRIDE,0,0,0,0,1,0,5,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,2,0,0,0,1,0,3,0,0,0,0,0,0
TXST-TJ MARTINEZ,2,0,0,0,1,0,2,0,0,0,0,0,0
TXST-TIM NGUYEN,3,0,0,0,1,0,1,0,0,0,0,0,0
TXST-STEPHEN VIGIL,1,2,0,0,1,1,1,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,0,1,0,0,1,0,1,0,0,0,0,0,0
TXST-ABBY LUM,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-ERIC REYES,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-MELISSA KITE,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,1,0,0,0,1,1,0,0,0,0,0,0
TEXAS-NICK MARINO,5,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,2,0,0,0,3,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-JACOB DOSTAL,1,2,0,0,1,0,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,4,0,0,0,0,0,0,1,0,0,0
TEXAS-HALLIE PACE,0,0,4,0,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,1,0,0,0,0,0,0,1,0,0,0
TEXAS-TATE KAY,0,0,2,0,0,0,0,0,0,0,0,0,0
TXST-71,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,0,0,0,0,0,0,0,0,0,0,0,1,0
TXST-KRIS DELAFUENTE,0,0,2,1,0,0,0,0,0,1,0,0,0
TXST-RYAN NAWROCKI,0,0,1,0,0,0,0,0,0,1,0,0,0
